Módulo,admin,finanzas,project_manager,account_manager,seller,especialista
Dashboard,Full,Finanzas,Operaciones,Cuentas,Ventas,Mis tareas
Clientes,CRUD,Ver,Ver,Ver sus clientes,CRUD,Ver
Contactos Cliente,CRUD,Ver,Ver,CRUD sus clientes,Ver,Ver
Presupuestos,CRUD,Ver,Ver,Ver,Crear + Ver propios,Ver
Contratos,CRUD,Ver,Ver,Ver sus clientes,Ver,Ver
Solicitudes,CRUD,CRUD,CRUD,Ver sus clientes,No,Ver propias
Facturas,CRUD,CRUD,No,No,Ver sus clientes,No
Liquidaciones,CRUD,CRUD,No,No,No,Ver propias
Proyectos Operacionales,CRUD,Ver,CRUD,No,No,Ver asignados
Tareas/Hitos,CRUD,No,CRUD,No,No,Actualizar propias
Especialistas,CRUD,Ver,Ver,Ver,Ver,Ver
Servicios,CRUD,Ver,Ver,Ver,Ver,Ver
Usuarios,CRUD,No,No,No,No,No
